ID,ItemLevel,DmgVariance,ItemDelay
1893,20,0.40000000596,3500
2847,10,0.60000002384,2500
2848,22,0.60000002384,2600
2849,23,0.60000002384,2500
2850,24,0.60000002384,2500
3041,31,0.60000002384,2800
3487,19,0.40000000596,3300
3488,13,0.40000000596,3500
3489,17,0.60000002384,2500
3490,25,0.60000002384,1800
3491,25,0.60000002384,2800
3492,30,0.60000002384,2800
3848,20,0.60000002384,1900
3849,32,0.60000002384,1800
3850,35,0.60000002384,2800
3851,31,0.40000000596,3500
3852,34,0.40000000596,3300
3853,36,0.40000000596,3500
3854,40,0.40000000596,3400
3855,37,0.40000000596,3500
3856,40,0.40000000596,3300
4362,10,0.60000002384,2300
4369,21,0.60000002384,2600
4372,24,0.60000002384,1800
4379,26,0.60000002384,2700
4383,29,0.60000002384,1700
5540,23,0.60000002384,1700
5541,28,0.60000002384,2400
6214,16,0.40000000596,3300
7166,11,0.60000002384,1700
7941,42,0.60000002384,2700
7942,44,0.60000002384,2400
7943,45,0.60000002384,2500
7944,48,0.60000002384,1700
7945,46,0.60000002384,2600
7946,49,0.60000002384,1600
7947,51,0.60000002384,1700
7954,47,0.60000002384,2400
7955,11,0.40000000596,3300
7956,25,0.40000000596,3500
7957,26,0.40000000596,3400
7958,27,0.40000000596,3300
7959,50,0.40000000596,3700
7960,52,0.40000000596,3400
7961,49,0.60000002384,1600
10508,41,0.60000002384,2900
10510,44,0.60000002384,2900
11288,23,0.60000002384,1800
11287,15,0.60000002384,1500
11289,31,0.60000002384,1300
11607,57,0.40000000596,2600
11608,55,0.40000000596,3700
12259,36,0.60000002384,1700
12260,39,0.60000002384,1400
12773,55,0.60000002384,1900
12774,55,0.60000002384,2100
12775,56,0.40000000596,3500
12776,56,0.40000000596,3500
12777,56,0.60000002384,2400
12781,57,0.60000002384,2500
12782,58,0.40000000596,3300
12783,63,0.60000002384,1900
12784,63,0.5,3800
12790,63,0.40000000596,3400
12792,58,0.60000002384,2500
12794,63,0.60000002384,1600
12796,63,0.40000000596,3800
12797,63,0.60000002384,2800
12798,63,0.60000002384,2400
15995,52,0.60000002384,2500
16004,55,0.60000002384,2700
16007,61,0.60000002384,3000
17015,65,0.60000002384,2400
17016,65,0.60000002384,2400
17193,67,0.40000000596,3700
17704,38,0.60000002384,2800
18282,65,0.60000002384,2500
19166,66,0.60000002384,1600
19167,66,0.40000000596,2100
19168,70,0.60000002384,1800
19169,70,0.40000000596,3500
19170,70,0.60000002384,2500
19542,63,0.60000002384,1700
19543,53,0.60000002384,1700
19544,43,0.60000002384,1700
19545,33,0.60000002384,1700
19546,63,0.60000002384,1700
19547,53,0.60000002384,1700
19548,43,0.60000002384,1700
19549,33,0.60000002384,1700
19550,63,0.60000002384,2700
19551,53,0.60000002384,2700
19552,43,0.60000002384,2700
19553,33,0.60000002384,2700
19554,63,0.60000002384,2700
19555,53,0.60000002384,2700
19556,43,0.60000002384,2700
19557,33,0.60000002384,2700
19558,63,0.60000002384,2400
19559,53,0.60000002384,2400
19560,43,0.60000002384,2400
19561,33,0.60000002384,2400
19562,63,0.60000002384,2400
19563,53,0.60000002384,2400
19564,43,0.60000002384,2400
19565,33,0.60000002384,2400
19566,63,0.40000000596,2900
19567,53,0.40000000596,2900
19568,43,0.40000000596,2900
19569,33,0.40000000596,2900
19570,63,0.40000000596,2900
19571,53,0.40000000596,2900
19572,43,0.40000000596,2900
19573,33,0.40000000596,2900
20069,65,0.40000000596,3400
20070,65,0.60000002384,1700
20214,65,0.60000002384,1700
20220,65,0.40000000596,3400
20425,23,0.40000000596,2900
20430,23,0.60000002384,2700
20434,23,0.40000000596,2900
20437,23,0.60000002384,2400
20438,23,0.60000002384,2400
20440,23,0.60000002384,2700
20441,23,0.60000002384,1700
20443,23,0.60000002384,1700
22383,64,0.60000002384,1800
22384,63,0.60000002384,2800
249144,42,0.60000002384,1500
249232,54,0.60000002384,2000
249234,48,0.60000002384,1800
249237,60,0.60000002384,1500
249385,60,0.60000002384,1200
249392,30,0.40000000596,2200
249393,30,0.40000000596,1800
249453,50,0.40000000596,2400
249454,50,0.40000000596,2400
250602,21,0.60000002384,2400
250603,25,0.40000000596,3400
250604,31,0.60000002384,2400
250605,37,0.40000000596,3300
250606,38,0.60000002384,2500
250607,41,0.60000002384,1700
250608,43,0.40000000596,3500
250609,45,0.60000002384,2600
250610,45,0.40000000596,3800
250611,47,0.60000002384,1800
250612,48,0.40000000596,3300
250613,55,0.40000000596,3600
250614,55,0.60000002384,2400
250615,57,0.40000000596,3400
250616,59,0.60000002384,1800
250617,63,0.40000000596,3600
250618,63,0.60000002384,2700
250619,63,0.40000000596,3200
272452,65,0.40000000596,2900
272592,65,0.40000000596,2900
272593,65,0.40000000596,3800
272594,65,0.40000000596,1800
272595,65,0.40000000596,2900
272596,65,0.40000000596,2000
272597,65,0.40000000596,2900
272598,65,0.40000000596,2900
272599,65,0.40000000596,2900
272600,65,0.40000000596,2900
272601,65,0.40000000596,3800
272602,65,0.40000000596,3800
272603,65,0.40000000596,3000
272604,65,0.40000000596,3800
272681,65,0.60000002384,2900
272682,65,0.40000000596,3800
272683,65,0.60000002384,2000
272684,65,0.40000000596,1800
279246,65,0.60000002384,1700
279259,65,0.60000002384,2400
279260,65,0.40000000596,3300
279261,65,0.60000002384,2300
279273,65,0.60000002384,2500
