ID,ItemLevel,Quality_0,Quality_1,Quality_2,Quality_3,Quality_4,Quality_5,Quality_6
1,1,0.98989242315,1.01420545578,1.64982068539,5.06879663467,9.04458045959,9.04458045959,9.04458045959
2,2,1.28958189487,1.32125580311,2.14930319786,5.77615785599,9.62202548981,9.62202548981,9.62202548981
3,3,1.61027038097,1.64982068539,2.68378400803,6.47077322006,10.20033740997,10.20033740997,10.20033740997
4,4,1.94020938873,2.14930319786,3.23368239403,7.15940761566,10.77276325226,10.77276325226,10.77276325226
5,5,2.28795194626,2.68378400803,3.81325316429,7.82942581177,11.34668445587,11.34668445587,11.34668445587
6,6,2.65006232262,3.23368239403,4.41677045822,8.46211338043,11.92714500427,11.92714500427,11.92714500427
7,7,3.04127812386,3.81325316429,5.06879663467,9.04458045959,12.53075218201,12.53075218201,12.53075218201
8,8,3.46569466591,4.41677045822,5.77615785599,9.62202548981,13.16034698486,13.16034698486,13.16034698486
9,9,3.88246393204,5.06879663467,6.47077322006,10.20033740997,13.82581520081,13.82581520081,13.82581520081
10,10,4.29564476013,5.77615785599,7.15940761566,10.77276325226,14.53035926819,14.53035926819,14.53035926819
11,11,4.69765520096,6.47077322006,7.82942581177,11.34668445587,15.27160644531,15.27160644531,15.27160644531
12,12,5.07726812363,7.15940761566,8.46211338043,11.92714500427,16.04225158691,16.04225158691,16.04225158691
13,13,5.42674779892,7.82942581177,9.04458045959,12.53075218201,16.81906318665,16.81906318665,16.81906318665
14,14,5.77321481705,8.46211338043,9.62202548981,13.16034698486,17.59941673279,17.59941673279,17.59941673279
15,15,6.12020254135,9.04458045959,10.20033740997,13.82581520081,18.3690071106,18.3690071106,18.3690071106
16,16,6.46365785599,9.62202548981,10.77276325226,14.53035926819,19.10466575623,19.10466575623,19.10466575623
17,17,6.80801010132,10.20033740997,11.34668445587,15.27160644531,19.80846595764,19.80846595764,19.80846595764
18,18,7.15628671646,10.77276325226,11.92714500427,16.04225158691,20.48322486877,20.48322486877,20.48322486877
19,19,7.51845121384,11.34668445587,12.53075218201,16.81906318665,21.13180541992,21.13180541992,21.13180541992
20,20,7.89620828629,11.92714500427,13.16034698486,17.59941673279,21.7568321228,21.7568321228,21.7568321228
21,21,8.29548931122,12.53075218201,13.82581520081,18.3690071106,22.38461303711,22.38461303711,22.38461303711
22,22,8.71821498871,13.16034698486,14.53035926819,19.10466575623,23.08053398132,23.08053398132,23.08053398132
23,23,9.16296386719,13.82581520081,15.27160644531,19.80846595764,23.8653717041,23.8653717041,23.8653717041
24,24,9.62535095215,14.53035926819,16.04225158691,20.48322486877,24.73031616211,24.73031616211,24.73031616211
25,25,10.09143733978,15.27160644531,16.81906318665,21.13180541992,25.70181465149,25.70181465149,25.70181465149
26,26,10.55965042114,16.04225158691,17.59941673279,21.7568321228,26.77680397034,26.77680397034,26.77680397034
27,27,11.02140426636,16.81906318665,18.3690071106,22.38461303711,27.87447929382,27.87447929382,27.87447929382
28,28,11.46280002594,17.59941673279,19.10466575623,23.08053398132,29.00736808777,29.00736808777,29.00736808777
29,29,11.88507938385,18.3690071106,19.80846595764,23.8653717041,30.17371559143,30.17371559143,30.17371559143
30,30,12.289935112,19.10466575623,20.48322486877,24.73031616211,31.36266326904,31.36266326904,31.36266326904
31,31,12.67908382416,19.80846595764,21.13180541992,25.70181465149,32.56992340088,32.56992340088,32.56992340088
32,32,13.05409908295,20.48322486877,21.7568321228,26.77680397034,33.71000289917,33.71000289917,33.71000289917
33,33,13.430768013,21.13180541992,22.38461303711,27.87447929382,34.75381851196,34.75381851196,34.75381851196
34,34,13.84832000732,21.7568321228,23.08053398132,29.00736808777,35.70782470703,35.70782470703,35.70782470703
35,35,14.31922245026,22.38461303711,23.8653717041,30.17371559143,36.56828308105,36.56828308105,36.56828308105
36,36,14.83819007874,23.08053398132,24.73031616211,31.36266326904,37.3360824585,37.3360824585,37.3360824585
37,37,15.42108821869,23.8653717041,25.70181465149,32.56992340088,38.1023979187,38.1023979187,38.1023979187
38,38,16.06608200073,24.73031616211,26.77680397034,33.71000289917,38.87404251099,38.87404251099,38.87404251099
39,39,16.72468757629,25.70181465149,27.87447929382,34.75381851196,39.6572227478,39.6572227478,39.6572227478
40,40,17.40442085266,26.77680397034,29.00736808777,35.70782470703,40.43146514893,40.43146514893,40.43146514893
41,41,18.10422897339,27.87447929382,30.17371559143,36.56828308105,41.19721603394,41.19721603394,41.19721603394
42,42,18.8175983429,29.00736808777,31.36266326904,37.3360824585,41.97041702271,41.97041702271,41.97041702271
43,43,19.54195404053,30.17371559143,32.56992340088,38.1023979187,42.74224090576,42.74224090576,42.74224090576
44,44,20.2260017395,31.36266326904,33.71000289917,38.87404251099,43.5092010498,43.5092010498,43.5092010498
